artist,title,peak,weeks,type
Rich The Kid Featuring Kendrick Lamar,New Freezer,20,20,collaborated
Cardi B Featuring 21 Savage,Bartier Cardi,7,20,collaborated
Cardi B Featuring SZA,I Do,16,4,collaborated
Post Malone Featuring 21 Savage,Rockstar,1,29,collaborated
Bhad Bhabie Featuring Lil Yachty,Gucci Flip Flops,39,2,collaborated
Post Malone Featuring G-Eazy & YG,Same Bitches,13,3,collaborated
NAV Featuring Travis Scott,Champion,43,1,collaborated
Lil Skies Featuring Landon Cube,Red Roses,28,19,collaborated
Bruno Mars & Cardi B,Finesse,1,22,collaborated
Kendrick Lamar & SZA,All The Stars,5,21,collaborated
A$AP Rocky Featuring Moby,A$AP Forever,31,2,collaborated
"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,13,20,collaborated
Pusha T Featuring Kanye West,What Would Meek Do?,37,1,collaborated
Post Malone Featuring Swae Lee,Spoil My Night,10,5,collaborated
Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch,9,5,collaborated
Playboi Carti Featuring Lil Uzi Vert,Shoota,25,4,collaborated
KIDS SEE GHOSTS Featuring Louis Prima,4th Dimension,21,1,collaborated
Kanye West Featuring PARTYNEXTDOOR,Ghost Town,11,2,collaborated
Kanye West Featuring PARTYNEXTDOOR,Wouldn't Leave,14,2,collaborated
The Weeknd & Kendrick Lamar,Pray For Me,4,20,collaborated
"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",Welcome To The Party,37,4,collaborated
Nas Featuring Kanye West,Cop Shot The Kid,49,1,collaborated
BlocBoy JB Featuring Drake,Look Alive,3,20,collaborated
Migos Featuring Drake,Walk It Talk It,7,22,collaborated
XXXTENTACION Featuring Trippie Redd,F**k Love,18,23,collaborated
"2 Chainz, Drake & Quavo",Bigger > You,28,2,collaborated
Lil Skies Featuring Yung Pinch,I Know You,40,4,collaborated
Rae Sremmurd & Juicy J,Powerglide,17,17,collaborated
Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,36,6,collaborated
Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,32,14,collaborated
Cardi B Featuring Migos,Drip,15,11,collaborated
Meek Mill Featuring Swizz Beatz,Millidelphia,40,1,collaborated
Drake Featuring Static Major & Ty Dolla $ign,After Dark,28,3,collaborated
Drake Featuring JAY-Z,Talk Up,17,3,collaborated
Lil Skies Featuring Rich The Kid,Creeping,44,1,collaborated
Wiz Khalifa Featuring Lil Skies,Fr Fr,31,2,collaborated
TK Kravitz Featuring Jacqueez,Ocean,28,4,collaborated
Logic Featuring Ryan Tedder,One Day,31,1,collaborated
Lil Dicky Featuring Chris Brown,Freaky Friday,5,20,collaborated
A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),22,8,collaborated
Post Malone Featuring Nicki Minaj,Ball For Me,11,14,collaborated
H.E.R. Featuring Bryson Tiller,Could've Been,39,1,collaborated
YG Featuring A$AP Rocky,Handgun,43,2,collaborated
Nicki Minaj Featuring Lil Wayne,Rich Sex,24,2,collaborated
Nicki Minaj Featuring Eminem & Labrinth,Majesty,25,1,collaborated
Nicki Minaj Featuring The Weeknd,Thought I Knew You,49,1,collaborated
Post Malone Featuring Ty Dolla $ign,Psycho,1,26,collaborated
Janet & Daddy Yankee,Made For Now,36,1,collaborated
Nicki Minaj Featuring Ariana Grande,Bed,19,10,collaborated
Juice WRLD Featuring Lil Uzi Vert,Wasted,27,6,collaborated
YoungBoy Never Broke Again Featuring Kevin Gates,TTG,45,1,collaborated
Bas & J. Cole,Tribe,48,1,collaborated
Eminem & Jessie Reyez,Nice Guy,31,1,collaborated
Eminem Featuring Jessie Reyez,Good Guy,32,1,collaborated
G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,29,8,collaborated
6LACK Featuring J. Cole,Pretty Little Fears,35,1,collaborated
Eminem Featuring Royce Da 5'9,Not Alike,17,3,collaborated
Wiz Khalifa Featuring Swae Lee,Hopeless Romantic,30,8,collaborated
Young Dolph Featuring Key Glock,Major,47,1,collaborated
Young Thug Featuring Jaden Smith,Sin,48,1,collaborated
YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,I Am Who They Say I Am,24,4,collaborated
Lil Wayne Featuring Nicki Minaj,Dark Side Of The Moon,19,1,collaborated
Lil Wayne Featuring Reginae Carter,Famous,25,1,collaborated
Lil Wayne Featuring Snoop Dogg,Dope N****z,27,1,collaborated
Lil Wayne Featuring Ashanti & Mack Maine,Start This S**t Off Right,42,1,collaborated
Lil Baby & Gunna,Business Is Business,28,1,collaborated
Lil Baby & Gunna,Belly,37,1,collaborated
Lil Baby & Gunna,I Am,46,1,collaborated
Lil Wayne Featuring Sosamann,What About Me,17,2,collaborated
Quavo Featuring Drake,Flip The Switch,23,1,collaborated
Quavo Featuring 21 Savage,Pass Out,29,1,collaborated
Quavo Featuring Travis Scott,Rerun,41,1,collaborated
Lil Wayne Featuring XXXTENTACION,Don't Cry,4,3,collaborated
Quavo Featuring Lil Baby,Lose It,47,1,collaborated
Lil Wayne Featuring Travis Scott,Let It Fly,8,3,collaborated
"Khalid, Ty Dolla $ign & 6LACK",OTW,32,19,collaborated
Lil Baby & Gunna Featuring Lil Durk & NAV,Off White VLONE,25,2,collaborated
Future & Juice WRLD Featuring Young Scooter,Jet Lag,33,1,collaborated
Future & Juice WRLD,Astronauts,39,1,collaborated
Khalid Featuring Empress Of,Suncity,43,1,collaborated
Lil Yachty Featuring Juice WRLD,Yacht Club,46,1,collaborated
Lil Yachty Featuring Playboi Carti,Get Dripped,49,1,collaborated
Future & Juice WRLD Featuring Young Thug,Red Bentley,50,1,collaborated
"Cardi B, Bad Bunny & J Balvin",I Like It,1,30,collaborated
Tory Lanez Featuring Trippie Redd,FeRRis WhEEL,49,1,collaborated
Tory Lanez Featuring Meek Mill,DrIP DrIP DrIP,50,1,collaborated
Lil Baby & Drake,Yes Indeed,5,26,collaborated
Metro Boomin Featuring Travis Scott,Overdue,30,1,collaborated
Metro Boomin Featuring Swae Lee & Travis Scott,Dreamcatcher,36,1,collaborated
"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",No More,40,1,collaborated
Trippie Redd Featuring Kodie Shane,Negative Energy,45,1,collaborated
Tyga Featuring Offset,Taste,7,26,collaborated
Lil Wayne Featuring Kendrick Lamar,Mona Lisa,1,8,collaborated
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,4,17,collaborated
Drake Featuring Michael Jackson,Don't Matter To Me,8,6,collaborated
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,12,26,collaborated
6ix9ine Featuring Bobby Shmurda,STOOPID,15,8,collaborated
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,24,3,collaborated
Lil Baby & Gunna Featuring Drake,Never Recover,9,8,collaborated
Metro Boomin Featuring 21 Savage,Don't Come Out The House,18,4,collaborated
6ix9ine Featuring DJ SPINKING,TATI,23,8,collaborated
Lil Baby Featuring Meek Mill,Time,31,1,collaborated
Lil Baby Featuring Gunna,Ready,35,1,collaborated
Meek Mill Featuring Kodak Black,Tic Tac Toe,37,1,collaborated
"Meek Mill Featuring Future, Roddy Ricch & Young Thug",Splash Warning,42,1,collaborated
Meek Mill Featuring 21 Savage,Pay You Back,43,1,collaborated
6ix9ine Featuring Lil Baby,TIC TOC,24,3,collaborated
Kodak Black Featuring Juice WRLD,MoshPit,19,1,collaborated
6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,3,22,collaborated
Kodak Black Featuring Lil Pump,Gnarly,34,1,collaborated
Meek Mill Featuring Fabolous & Anuel AA,Uptown Vibes,17,3,collaborated
6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,18,4,collaborated
Daniel Caesar Featuring H.E.R.,Best Part,32,20,collaborated
6ix9ine Featuring A Boogie Wit da Hoodie,WAKA,22,4,collaborated
Meek Mill Featuring Rick Ross & JAY-Z,What's Free,10,3,collaborated
Meek Mill Featuring Cardi B,On Me,13,3,collaborated
John Legend Featuring Stevie Wonder,What Christmas Means To Me,49,2,collaborated
A Boogie Wit da Hoodie Featuring Queen Naija,Come Closer,48,1,collaborated
Young Thug Featuring Gunna & Lil Baby,Chanel (Go Get It),31,6,collaborated
Kanye West & Lil Pump,I Love It,5,13,collaborated
Meek Mill Featuring Jeremih & PnB Rock,Dangerous,14,22,collaborated
Cardi B Featuring Kehlani,Ring,17,24,collaborated
Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),25,20,collaborated
6ix9ine Featuring Tory Lanez,KIKA,19,7,collaborated
Tyga & Nicki Minaj,Dip,31,9,collaborated
Eminem Featuring Joyner Lucas,Lucky You,5,15,collaborated
Ski Mask The Slump God Featuring Juice WRLD,Nuketown,32,7,collaborated
Nicki Minaj Featuring Lil Wayne,Good Form,29,6,collaborated
A Boogie Wit da Hoodie Featuring Juice WRLD,Demons And Angels,37,4,collaborated
Future & Juice WRLD,Fine China,14,13,collaborated
Logic & Marshmello,Everyday,16,15,collaborated
Metro Boomin Featuring Gunna,Space Cadet,22,7,collaborated
Future Featuring Travis Scott,First Off,24,4,collaborated
French Montana Featuring Drake,No Stylist,22,19,collaborated
Metro Boomin Featuring 21 Savage,10 Freaky Girls,20,10,collaborated
XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,16,17,collaborated
A Boogie Wit da Hoodie Featuring Offset & Tyga,Startender,21,9,collaborated
Tory Lanez & Rich The Kid,Talk To Me,18,17,collaborated
Marshmello & Roddy Ricch,Project Dreams,46,1,collaborated
Pardison Fontaine Featuring Cardi B,Backin' It Up,18,20,collaborated
Offset Featuring  J. Cole,How Did I Get Here,30,1,collaborated
Gunna Featuring Playboi Carti,Same Yung N***a,45,1,collaborated
Gesaffelstein & The Weeknd,Lost In The Fire,13,7,collaborated
2 Chainz Featuring Travis Scott,Whip,31,1,collaborated
2 Chainz Featuring Kendrick Lamar,Momma I Hit A Lick,40,1,collaborated
Offset Featuring Travis Scott & 21 Savage,Legacy,22,2,collaborated
2 Chainz Featuring Young Thug,High Top Versace,45,1,collaborated
Gunna Featuring Young Thug,3 Headed Snake,35,2,collaborated
Lil Pump Featuring Lil Wayne,Be Like Me,33,2,collaborated
Lil Skies Featuring Gucci Mane,Bad Girls,50,1,collaborated
Lil Baby & Gunna,Drip Too Hard,3,26,collaborated
Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,5,26,collaborated
Juice WRLD Featuring Clever,Ring Ring,50,1,collaborated
NAV Featuring The Weeknd,Price On My Head,29,1,collaborated
Kodak Black Featuring Travis Scott & Offset,ZEZE,1,25,collaborated
Nipsey Hussle Featuring YG,Last Time That I Checc'd,29,3,collaborated
Nipsey Hussle Featuring Stacy Barthe,Victory Lap,37,3,collaborated
Nipsey Hussle Featuring Kendrick Lamar,Dedication,33,3,collaborated
Kehlani Featuring Ty Dolla $ign,Nights Like This,31,14,collaborated
French Montana Featuring Blueface & Lil Tjay,Slide,33,1,collaborated
Nipsey Hussle Featuring Belly & DOM KENNEDY,Double Up,26,4,collaborated
G-Eazy & Blueface,West Coast,37,4,collaborated
ScHoolboy Q + Travis Scott,CHopstix,32,1,collaborated
"Marshmello, Tyga & Chris Brown",Light It Up,35,1,collaborated
City Girls Featuring Cardi B,Twerk,14,17,collaborated
A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,16,20,collaborated
PnB Rock & XXXTENTACION,Middle Child,37,1,collaborated
PnB Rock Featuring Lil Skies,I Like Girls,48,1,collaborated
2 Chainz Featuring Ariana Grande,Rule The World,37,5,collaborated
Logic Featuring Gucci Mane,Icy,43,1,collaborated
ScHoolboy Q Featuring 21 Savage,Floating,25,3,collaborated
"SZA, The Weeknd & Travis Scott",Power Is Power,36,4,collaborated
"Tyler, The Creator",Running Out Of Time,32,1,collaborated
"Tyler, The Creator",Igor's Theme,33,1,collaborated
"Tyler, The Creator",New Magic Wand,34,1,collaborated
"Tyler, The Creator",A Boy Is A Gun,36,1,collaborated
"Tyler, The Creator",What's Good,41,1,collaborated
"Tyler, The Creator",Puppet,43,1,collaborated
DJ Khaled Featuring Meek Mill & Lil Baby,Weather The Storm,44,1,collaborated
DJ Khaled Featuring Lil Wayne & Gunna,Freak N You,49,1,collaborated
Meek Mill Featuring Drake,Going Bad,2,26,collaborated
DJ Khaled Featuring Nipsey Hussle & John Legend,Higher,9,2,collaborated
"Tyler, The Creator",I Think,22,2,collaborated
"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",Jealous,26,2,collaborated
DJ Khaled Featuring Travis Scott & Post Malone,Celebrate,23,2,collaborated
YNW Melly Featuring Kanye West,Mixed Personalities,19,20,collaborated
Yo Gotti Featuring Lil Baby,Put A Date On It,21,20,collaborated
Tyga Featuring J Balvin & Chris Brown,Haute,42,1,collaborated
Joyner Lucas Featuring Logic,Isis,24,4,collaborated
Khalid & Kane Brown,Saturday Nights,21,20,collaborated
Cardi B & Bruno Mars,Please Me,1,20,collaborated
Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle,11,14,collaborated
Chris Brown Featuring Nicki Minaj & G-Eazy,Wobble Up,46,5,collaborated
Summer Walker X Drake,Girls Need Love,16,20,collaborated
"Dreamville Featuring Cozz, Reason & Childish Major",LamboTruck,44,1,collaborated
Logic Featuring Eminem,Homicide,2,9,collaborated
Dreamville Featuring J. Cole & Young Nudy,Sunset,50,1,collaborated
Mustard & Migos,Pure Water,10,26,collaborated
"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",Down Bad,26,4,collaborated
"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",Costa Rica,30,2,collaborated
Machine Gun Kelly Featuring Trippie Redd,Candy,49,1,collaborated
"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",Mood 4 Eva,33,1,collaborated
Future Featuring Meek Mill & Doe Boy,100 Shooters,39,2,collaborated
"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again,30,10,collaborated
Ed Sheeran Featuring Eminem & 50 Cent,Remember The Name,22,2,collaborated
"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",You Stay,19,10,collaborated
Lil Baby Featuring Future,Out The Mud,24,5,collaborated
Chance The Rapper Featuring John Legend,All Day Long,41,1,collaborated
Chance The Rapper Featuring Death Cab For Cutie,Do You Remember,42,1,collaborated
Chance The Rapper Featuring Megan Thee Stallion,Handsome,45,1,collaborated
Lizzo Featuring Missy Elliott,Tempo,48,1,collaborated
"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",Brown Skin Girl,27,2,collaborated
Drake Featuring James Fauntleroy,Girls Love Beyonce,48,1,collaborated
Meek Mill Featuring Ella Mai,24/7,25,20,collaborated
Rick Ross Featuring Wale,Act A Fool,45,1,collaborated
Rick Ross Featuring Summer Walker,Summer Reign,47,1,collaborated
Rick Ross Featuring Gunplay,Nobody's Favorite,50,1,collaborated
Young Thug Featuring Future,Sup Mate,29,1,collaborated
Trippie Redd Featuring Lil Baby & Lil Duke,Mac 10,24,4,collaborated
Young Thug Featuring Machine Gun Kelly,Ecstasy,40,1,collaborated
Rick Ross Featuring Drake,Gold Roses,16,4,collaborated
Pop Smoke Featuring Nicki Minaj,Welcome To The Party,48,1,collaborated
DJ Khaled Featuring SZA,Just Us,18,14,collaborated
Young Thug Featuring Lil Uzi Vert,What's The Move,21,2,collaborated
Swae Lee Featuring Drake,Won't Be Late,30,2,collaborated
Young Thug Featuring Gunna,Surf,24,2,collaborated
NAV Featuring Meek Mill,Tap,31,14,collaborated
Offset Featuring Cardi B,Clout,17,24,collaborated
Big Sean Featuring A$AP Ferg & Hit-Boy,Bezerk,39,1,collaborated
Blueface & Rich The Kid,Daddy,30,11,collaborated
"Tyler, The Creator",EARFQUAKE,5,17,collaborated
Polo G Featuring Lil Tjay,Pop Out,7,26,collaborated
"YG, Tyga & Jon Z",Go Loko,16,20,collaborated
"Dreamville Featuring J. Cole, Lute & DaBaby",Under The Sun,18,5,collaborated
"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",Baguettes In The Face,33,11,collaborated
Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),1,50,collaborated
DaBaby & Nicki Minaj,iPHONE,22,1,collaborated
DaBaby Featuring Stunna 4 Vegas,REALLY,30,1,collaborated
"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",GOSPEL,32,1,collaborated
Post Malone Featuring Meek Mill & Lil Baby,On The Road,13,4,collaborated
"Young Thug, J. Cole & Travis Scott",The London,6,20,collaborated
Summer Walker Featuring A Boogie Wit da Hoodie,Stretch You Out,33,1,collaborated
DaBaby Featuring Migos,RAW SHIT,27,2,collaborated
Khalid Featuring A Boogie Wit da Hoodie,Right Back,29,11,collaborated
Post Malone Featuring Future & Halsey,Die For Me,11,5,collaborated
DaBaby Featuring Kevin Gates,POP STAR,25,2,collaborated
"French Montana Featuring Post Malone, Cardi B & Rvssian",Writing On The Wall,33,3,collaborated
DJ Khaled Featuring Cardi B & 21 Savage,Wish Wish,8,20,collaborated
Young Thug Featuring Lil Baby,Bad Bad Bad,15,9,collaborated
Summer Walker Featuring Jhene Aiko,I'll Kill You,29,3,collaborated
Kanye West Featuring Ty Dolla $ign & Ant Clemons,Everything We Need,17,1,collaborated
Kanye West Featuring Clipse & Kenny G,Use This Gospel,20,1,collaborated
Kanye West Featuring Ant Clemons,Water,25,1,collaborated
Kanye West Featuring Fred Hammond,Hands On,29,1,collaborated
Megan Thee Stallion Featuring DaBaby,Cash Shit,16,20,collaborated
Gucci Mane Featuring Kodak Black & London On Da Track,Big Boy Diamonds,49,1,collaborated
Y2K & bbno$,Lalala,22,20,collaborated
Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,1,37,collaborated
"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",Somebody,44,4,collaborated
DaBaby Featuring Offset,Baby Sitter,28,20,collaborated
Tory Lanez Featuring Chris Brown,The Take,32,1,collaborated
Tory Lanez Featuring Snoop Dogg,Beauty In The Benz,40,1,collaborated
Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower,24,14,collaborated
Tory Lanez Featuring Jagged Edge & Jermaine Dupri,The Trade,48,1,collaborated
Alicia Keys Featuring Miguel,Show Me Love,41,2,collaborated
Trippie Redd Featuring YoungBoy Never Broke Again,Hate Me,38,1,collaborated
Jhene Aiko Featuring Big Sean,None Of Your Concern,26,2,collaborated
Post Malone Featuring Young Thug,Goodbyes,2,22,collaborated
Drake Featuring Rick Ross,Money In The Grave,3,25,collaborated
A Boogie Wit da Hoodie Featuring Lil Uzi Vert,Reply,22,3,collaborated
"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer,7,17,collaborated
XXXTENTACION Featuring PnB Rock & Trippie Redd,Bad Vibes Forever,39,1,collaborated
Fat Joe & Dre Featuring Eminem & Mary J. Blige,Lord Above,44,1,collaborated
Rod Wave & Kevin Gates,Cuban Links,39,4,collaborated
Young Thug Featuring Travis Scott,Hop Off A Jet,41,1,collaborated
Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss,28,5,collaborated
Lil Nas X,Panini,2,28,collaborated
"JACKBOYS, Pop Smoke & Travis Scott",GATTI,33,1,collaborated
Trippie Redd Featuring DaBaby,Death,26,7,collaborated
Chris Brown Featuring Drake,No Guidance,2,31,collaborated
Lil Baby & DaBaby,Baby,11,25,collaborated
Chris Brown Featuring Gunna,Heat,15,20,collaborated
JACKBOYS & Sheck Wes,GANG GANG,22,2,collaborated
Don Toliver Featuring Quavo & Offset,HAD ENOUGH,23,2,collaborated
YNW Melly & 9lokknine,223's,17,20,collaborated
JACKBOYS Featuring Don Toliver,WHAT TO DO?,26,2,collaborated
Wale Featuring Jeremih,On Chill,11,23,collaborated
Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,32,7,collaborated
Moneybagg Yo X Megan Thee Stallion,All Dat,34,6,collaborated
"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone,27,17,collaborated
Moneybagg Yo Featuring DaBaby,Protect da Brand,44,1,collaborated
Roddy Ricch Featuring Meek Mill,Peta,31,6,collaborated
Post Malone Featuring DaBaby,Enemies,9,19,collaborated
Roddy Ricch Featuring Ty Dolla $ign,Bacc Seat,49,2,collaborated
Moneybagg Yo Featuring Future,Federal Fed,50,1,collaborated
Eminem Featuring Skylar Grey,Leaving Heaven,29,1,collaborated
Eminem Featuring Don Toliver,No Regrets,43,1,collaborated
Eminem Featuring Anderson .Paak,Lock It Up,45,1,collaborated
Eminem Featuring Ed Sheeran,Those Kinda Nights,17,2,collaborated
Eminem Featuring Young M.A,Unaccommodating,20,2,collaborated
"Eminem Featuring Royce da 5'9"" & White Gold",You Gon' Learn,26,2,collaborated
Meek Mill Featuring Roddy Ricch,Letter To Nipsey,34,2,collaborated
Justin Bieber Featuring Kehlani,Get Me,44,1,collaborated
MoneyBagg Yo Featuring Lil Baby,U Played,23,5,collaborated
Young Thug Featuring Gunna,Hot,5,26,collaborated
Lil Wayne Featuring Big Sean & Lil Baby,I Do It,16,2,collaborated
Lil Nas X & Cardi B Or Nas,Rodeo,12,13,collaborated
Meek Mill Featuring Justin Timberlake,Believe,42,1,collaborated
Roddy Ricch & Gunna,Start Wit Me,25,13,collaborated
DaniLeigh Featuring Chris Brown,Easy,34,19,collaborated
Tory Lanez & T-Pain,Jerry Sprunger,20,14,collaborated
"Migos, Young Thug & Travis Scott",g n f (Give No Fxk),19,1,collaborated
Juice WRLD & YoungBoy Never Broke Again,Bandit,5,20,collaborated
A Boogie Wit da Hoodie Featuring Young Thug,Might Not Give Up,32,1,collaborated
A Boogie Wit da Hoodie Featuring DaBaby,Stain,38,1,collaborated
Mustard & Roddy Ricch,Ballin',4,32,collaborated
Justin Bieber Featuring Post Malone & Clever,Forever,13,2,collaborated
Pop Smoke Featuring Quavo,Shake The Room,43,1,collaborated
YoungBoy Never Broke Again Featuring Quando Rondo,Suited Panamera,48,1,collaborated
Lil Baby Featuring Future,Live Off My Closet,15,1,collaborated
Doja Cat & Tyga,Juicy,18,21,collaborated
Lil Baby & Moneybagg Yo,No Sucker,30,1,collaborated
Lil Baby Featuring Lil Wayne,Forever,34,1,collaborated
"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",Numbers,12,3,collaborated
Lil Baby & Young Thug,We Should,43,1,collaborated
DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,16,15,collaborated
Jhene Aiko Featuring Future & Miguel,Happiness Over Everything (H.O.E.),41,1,collaborated
Lil Uzi Vert Featuring Syd,Urgency,47,1,collaborated
Lil Uzi Vert Featuring Future,Wassup,31,1,collaborated
Lil Uzi Vert Featuring Young Thug & Gunna,Strawberry Peels,34,1,collaborated
Lil Uzi Vert Featuring NAV,Leaders,39,1,collaborated
Lil Uzi Vert Featuring Lil Durk,No Auto,42,1,collaborated
Lil Uzi Vert Featuring Young Thug,Got The Guap,49,1,collaborated
Lil Uzi Vert Featuring Young Nudy,Money Spread,50,1,collaborated
Lil Uzi Vert Featuring Chief Keef,Bean (Kobe),10,2,collaborated
Lil Uzi Vert & 21 Savage,Yessirskiii,14,2,collaborated
PARTYNEXTDOOR Featuring Drake,Loyal,25,5,collaborated
Lil Baby Featuring Lil Uzi Vert,Commercial,12,3,collaborated
